PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued,TASK_CODE,TASK_DESC,RESULT_CODE,RESULT_DESC,Task_Complete_Date
2018050362,CACR,Building Commercial - Rehab,CAF18B012,"Personal Care Svcs, Hair/ Nail Salon",15900.00,0.00,DONE,08-22-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-22-2018
2018050308,CACF,Building Commercial - Foundation,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",52789.38,10191.00,DONE,08-22-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-28-2018
2018050302,CACF,Building Commercial - Foundation,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",83056.12,16034.00,DONE,08-22-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-28-2018
2018048522,CARN,Building Residential - New,CAA01R301,Single Family Residence,333234.15,3411.00,DONE,08-14-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018048526,CARN,Building Residential - New,CAA01R301,Single Family Residence,333234.15,3411.00,DONE,08-14-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018048532,CARN,Building Residential - New,CAA01R301,Single Family Residence,357003.30,3622.00,DONE,08-14-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018048530,CARN,Building Residential - New,CAA01R301,Single Family Residence,357003.30,3622.00,DONE,08-14-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018051020,CACR,Building Commercial - Rehab,CAF31A203,Restaurant (Take Out),10000.00,0.00,DONE,08-24-2018,08-28-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-24-2018
2018047007,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",352370.11,4281.00,DONE,08-08-2018,08-29-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-08-2018
2018042010,CARN,Building Residential - New,CAA01R301,Single Family Residence,353797.50,3456.00,DONE,07-18-2018,08-29-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-08-2018
2018055387,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",370000.00,0.00,DONE,08-29-2018,08-29-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-29-2018
2018055710,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",36855.00,1300.00,DONE,08-30-2018,08-30-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-30-2018
2018055752,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",8103.00,180.00,DONE,08-30-2018,08-30-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-30-2018
2018049463,CACN,Building Commercial - New,CAD03B000,"Leasing / Sales Office, Other",2000.00,0.00,DONE,08-17-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-17-2018
2018025782,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",750000.00,0.00,DONE,05-07-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,05-18-2018
2018042678,CARN,Building Residential - New,CAA01R301,Single Family Residence,162775.28,1672.00,DONE,07-23-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-29-2018
2018043102,CARN,Building Residential - New,CAA01R301,Single Family Residence,207104.00,2080.00,DONE,07-24-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-29-2018
2018038762,CARN,Building Residential - New,CAA01R301,Single Family Residence,270572.21,2705.00,DONE,07-03-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-29-2018
2018039608,CARN,Building Residential - New,CAA01R301,Single Family Residence,234003.96,2320.00,DONE,07-10-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-16-2018
2018047082,CARN,Building Residential - New,CAA01R301,Single Family Residence,207104.00,2080.00,DONE,08-08-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-29-2018
2018046681,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",85000.00,0.00,DONE,08-07-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-07-2018
2018054706,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,22980.60,204.00,DONE,08-27-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-27-2018
2018055118,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",13924.56,312.00,DONE,08-28-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-29-2018
2018048913,CARN,Building Residential - New,CAA01R301,Single Family Residence,222609.11,2243.00,DONE,08-15-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018049170,CARN,Building Residential - New,CAA01R301,Single Family Residence,257666.65,2553.00,DONE,08-16-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018049173,CARN,Building Residential - New,CAA01R301,Single Family Residence,257666.65,2553.00,DONE,08-16-2018,08-31-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018054503,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",19834.50,350.00,DONE,08-27-2018,09-04-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-27-2018
2018046551,CACR,Building Commercial - Rehab,CAF04S001,"Automobile Repair, Storage Mod Hazard",100000.00,0.00,DONE,08-07-2018,09-04-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-07-2018
2018043068,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",410000.00,0.00,DONE,07-24-2018,09-04-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-24-2018
2018025096,CARN,Building Residential - New,CAA01R301,Single Family Residence,175562.00,1800.00,DONE,05-03-2018,09-04-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-30-2018
2018056539,CACK,Building Commercial - Roofing / Siding,CAD01B003,"Financial Institution, Banks",50484.00,0.00,DONE,09-05-2018,09-05-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-05-2018
2018056135,CARN,Building Residential - New,CAA01R301,Single Family Residence,194001.68,2076.00,DONE,08-31-2018,09-05-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-05-2018
2018056132,CARN,Building Residential - New,CAA01R301,Single Family Residence,194001.68,2076.00,DONE,08-31-2018,09-05-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-05-2018
2018056128,CARN,Building Residential - New,CAA01R301,Single Family Residence,194001.68,2076.00,DONE,08-31-2018,09-05-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-05-2018
2018050369,CACT,Building Commercial - Tenant Finish Out,CAF18B012,"Personal Care Svcs, Hair/ Nail Salon",85537.64,1174.00,DONE,08-22-2018,09-05-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-22-2018
2018038057,CACR,Building Commercial - Rehab,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",3128077.00,0.00,DONE,06-29-2018,09-06-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-29-2018
2018037206,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",46800.00,0.00,DONE,06-26-2018,09-06-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-26-2018
2018056915,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",1000.00,0.00,DONE,09-06-2018,09-06-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-06-2018
2018056963,CARN,Building Residential - New,CAA01R301,Single Family Residence,194001.68,2076.00,DONE,09-06-2018,09-06-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-06-2018
2018056858,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",42000.00,0.00,DONE,09-06-2018,09-06-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-06-2018
2018057066,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,6000.00,0.00,DONE,09-06-2018,09-06-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-06-2018
2018040170,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),18000.00,0.00,DONE,07-11-2018,09-07-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-11-2018
2018001297,CACN,Building Commercial - New,CAF21S001,"Self Service Storage, Storage Mod Hazard",517200.00,6000.00,DONE,01-08-2018,09-07-2018,PLPUD,[J] Planning Zoning Review - CA,COND,Approved with Comments,04-04-2018
2018056655,CACK,Building Commercial - Roofing / Siding,CAL03A999,"Commercial Amusement (In), Other",954000.00,0.00,DONE,09-05-2018,09-07-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-05-2018
2018057470,CARR,Building Residential - Rehab,CAA14U009,"Accessory Structure, Garage",5000.00,0.00,DONE,09-10-2018,09-10-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018031158,CACT,Building Commercial - Tenant Finish Out,CAF19A203,Restaurant (Full Service),474000.00,0.00,DONE,05-31-2018,09-10-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-12-2018
2018057504,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,48000.00,0.00,DONE,09-10-2018,09-10-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018055656,CACF,Building Commercial - Foundation,CAF14R102,Hotel / Motel,578035.00,66194.00,DONE,08-30-2018,09-10-2018,PLBSUBDIV,[J]  Subdivision Review Of Bldg App,COND,Approved with Comments,08-30-2018
2018057772,CACK,Building Commercial - Roofing / Siding,CAF05M004,Automotive Service,28435.00,0.00,DONE,09-11-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-11-2018
2018041849,CARN,Building Residential - New,CAA01R301,Single Family Residence,258818.85,2769.00,DONE,07-18-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-18-2018
2018041867,CARN,Building Residential - New,CAA01R301,Single Family Residence,258818.85,2769.00,DONE,07-18-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-18-2018
2018042334,CARN,Building Residential - New,CAA01R301,Single Family Residence,317471.16,3070.00,DONE,07-19-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,07-26-2018
2018039085,CACR,Building Commercial - Rehab,CAD01B003,"Financial Institution, Banks",225000.00,0.00,DONE,07-05-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-05-2018
2018046305,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",15000.00,0.00,DONE,08-06-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018042555,CACN,Building Commercial - New,CAF02B003,"Atm, Bank",99477.00,0.00,DONE,07-20-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-29-2018
2018057486,CARN,Building Residential - New,CAA01R301,Single Family Residence,278326.82,2926.00,DONE,09-10-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018057483,CARN,Building Residential - New,CAA01R301,Single Family Residence,234352.07,2119.00,DONE,09-10-2018,09-11-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018038384,CACR,Building Commercial - Rehab,CAL03A999,"Commercial Amusement (In), Other",750000.00,0.00,DONE,07-02-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-02-2018
2018057467,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",40000.00,0.00,DONE,09-10-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018029707,CACT,Building Commercial - Tenant Finish Out,CAF19A203,Restaurant (Full Service),250687.50,4775.00,DONE,05-24-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-29-2018
2018058084,CACK,Building Commercial - Roofing / Siding,CAL12A303,"Recreation Center, Community Halls",76000.00,0.00,DONE,09-12-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-12-2018
2018058137,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",559992.00,0.00,DONE,09-12-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-12-2018
2018057631,CACK,Building Commercial - Roofing / Siding,CAF20M001,"Retail, Department / Retail Stores",110531.00,0.00,DONE,09-10-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018048627,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",170000.01,0.01,DONE,08-14-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-14-2018
2018040451,CACR,Building Commercial - Rehab,CAF14R102,Hotel / Motel,60000.00,0.00,DONE,07-12-2018,09-12-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-10-2018
2018045300,CARN,Building Residential - New,CAA01R301,Single Family Residence,252454.08,2330.00,DONE,08-01-2018,09-13-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-12-2018
2018045297,CARN,Building Residential - New,CAA01R301,Single Family Residence,275883.70,2760.00,DONE,08-01-2018,09-13-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-12-2018
2018058210,CACN,Building Commercial - New,CAL15A199,Temporary Festival,2000.00,0.00,DONE,09-12-2018,09-13-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-12-2018
2018016173,CACA,Building Commercial - Addition,CAF30A203,Restaurant (Fast Food),15594.76,126.00,DONE,03-22-2018,09-13-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,06-22-2018
2018049108,CARN,Building Residential - New,CAA01R301,Single Family Residence,269430.00,0.00,DONE,08-16-2018,09-13-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-12-2018
2018049100,CARN,Building Residential - New,CAA01R301,Single Family Residence,340091.50,0.00,DONE,08-16-2018,09-13-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-13-2018
2018058388,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",99100.00,0.00,DONE,09-13-2018,09-14-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-13-2018
2018058234,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",4536.00,160.00,DONE,09-12-2018,09-14-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-14-2018
2018034444,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",178000.00,0.00,DONE,06-14-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,06-15-2018
2018058079,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",266300.00,0.00,DONE,09-12-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-14-2018
2018058079,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",266300.00,0.00,DONE,09-12-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-17-2018
2018045029,CARN,Building Residential - New,CAA01R301,Single Family Residence,180068.00,1840.00,DONE,07-31-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-14-2018
2018056382,CARN,Building Residential - New,CAA01R301,Single Family Residence,266109.21,2605.00,DONE,09-04-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-13-2018
2018040592,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",59400.00,0.00,DONE,07-12-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-12-2018
2018055291,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",39652.80,352.00,DONE,08-29-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-17-2018
2018056928,CARN,Building Residential - New,CAA01R301,Single Family Residence,315194.70,2798.00,DONE,09-06-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-17-2018
2018058204,CARN,Building Residential - New,CAA01R301,Single Family Residence,277910.10,2938.00,DONE,09-12-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-17-2018
2018058206,CARN,Building Residential - New,CAA01R301,Single Family Residence,319561.54,3222.00,DONE,09-12-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-17-2018
2018050296,CARN,Building Residential - New,CAA01R301,Single Family Residence,394513.34,3990.00,DONE,08-22-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-17-2018
2018037969,CARN,Building Residential - New,CAA01R301,Single Family Residence,402538.13,4240.00,DONE,06-28-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,08-28-2018
2018042009,CARN,Building Residential - New,CAA01R301,Single Family Residence,460274.07,4595.00,DONE,07-18-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,07-31-2018
2018058992,CARN,Building Residential - New,CAA01R301,Single Family Residence,199953.75,1775.00,DONE,09-17-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-17-2018
2018058998,CARN,Building Residential - New,CAA01R301,Single Family Residence,198714.60,1764.00,DONE,09-17-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-17-2018
2018059010,CARN,Building Residential - New,CAA01R301,Single Family Residence,199841.10,1774.00,DONE,09-17-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-17-2018
2018059003,CARN,Building Residential - New,CAA01R301,Single Family Residence,195109.80,1732.00,DONE,09-17-2018,09-17-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-17-2018
2018059235,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,200000.00,0.00,DONE,09-18-2018,09-18-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-18-2018
2018032678,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,82572.00,1050.00,DONE,06-07-2018,09-18-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-13-2018
2018048296,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",45000.00,0.00,DONE,08-14-2018,09-18-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-22-2018
2018030352,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",2284000.00,0.00,DONE,05-29-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-24-2018
2018059074,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,170000.00,0.00,DONE,09-17-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-18-2018
2018047431,CACR,Building Commercial - Rehab,CAB10A305,"Religious Institution, Worship Space",70000.00,0.00,DONE,08-09-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-10-2018
2018046495,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",500000.00,0.00,DONE,08-07-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-07-2018
2018004015,CACR,Building Commercial - Rehab,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",812500.00,0.00,DONE,01-24-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,03-23-2018
2018057606,CACN,Building Commercial - New,CAJ06H000,"Water/Sewer Pump Statn,Hazardous (H1-H5)",347000.00,0.00,DONE,09-10-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-10-2018
2018059764,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",7994.70,282.00,DONE,09-19-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-19-2018
2018026148,CACN,Building Commercial - New,CAF02B003,"Atm, Bank",297024.00,2400.00,DONE,05-08-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-14-2018
2018043110,CACT,Building Commercial - Tenant Finish Out,CAF18B011,"Personal Care Svcs,  Fitness Studio",171040.18,2078.00,DONE,07-24-2018,09-19-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-24-2018
2018050373,CARN,Building Residential - New,CAA01R301,Single Family Residence,180068.00,1840.00,DONE,08-22-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-19-2018
2018054748,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",15000.00,0.00,DONE,08-27-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-27-2018
2018055610,CARN,Building Residential - New,CAA01R301,Single Family Residence,319356.44,3350.00,DONE,08-29-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-13-2018
2018060009,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,93000.00,0.00,DONE,09-20-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-20-2018
2018043915,CARN,Building Residential - New,CAA01R301,Single Family Residence,1505463.00,5463.00,DONE,07-26-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-11-2018
2018057061,CARN,Building Residential - New,CAA01R301,Single Family Residence,290923.94,2844.00,DONE,09-06-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-20-2018
2018058471,CARN,Building Residential - New,CAA01R301,Single Family Residence,383647.27,3713.00,DONE,09-13-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-19-2018
2018051030,CARN,Building Residential - New,CAA01R301,Single Family Residence,396382.65,3881.00,DONE,08-24-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-20-2018
2018059691,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",25000.00,0.00,ISSUE,09-19-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-19-2018
2018038889,CACR,Building Commercial - Rehab,CAF18B012,"Personal Care Svcs, Hair/ Nail Salon",392178.00,0.00,DONE,07-05-2018,09-20-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,07-05-2018
2018060288,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,12000.00,0.00,DONE,09-21-2018,09-21-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-21-2018
2018060284,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,12000.00,0.00,DONE,09-21-2018,09-21-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-21-2018
2018060300,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,12000.00,0.00,DONE,09-21-2018,09-21-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-21-2018
2018060294,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,12000.00,0.00,DONE,09-21-2018,09-21-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-21-2018
2018055216,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",315000.00,0.00,DONE,08-28-2018,09-24-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-29-2018
2018060623,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,10000.00,0.00,DONE,09-24-2018,09-24-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-24-2018
2018057244,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),30000.00,0.00,DONE,09-07-2018,09-24-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-07-2018
2018056130,CACR,Building Commercial - Rehab,CAF18B012,"Personal Care Svcs, Hair/ Nail Salon",50000.01,0.01,DONE,08-31-2018,09-24-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-05-2018
2018050279,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",91206.00,0.00,DONE,08-22-2018,09-24-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,08-22-2018
2018057734,CARN,Building Residential - New,CAA01R301,Single Family Residence,314353.58,3244.00,DONE,09-10-2018,09-25-2018,PLPUD,[J] Planning Zoning Review - CA,COND,Approved with Comments,09-21-2018
2018055826,CARN,Building Residential - New,CAA01R301,Single Family Residence,198788.10,2136.00,DONE,08-30-2018,09-25-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-20-2018
2018055823,CARN,Building Residential - New,CAA01R301,Single Family Residence,224210.97,2349.00,DONE,08-30-2018,09-25-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-20-2018
2018055819,CARN,Building Residential - New,CAA01R301,Single Family Residence,203022.02,2176.00,DONE,08-30-2018,09-25-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-20-2018
2018055815,CARN,Building Residential - New,CAA01R301,Single Family Residence,192973.30,2024.00,DONE,08-30-2018,09-25-2018,PLPUD,[J] Planning Zoning Review - CA,APPROVED,Approved,09-20-2018
2018060908,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,10800.00,0.00,DONE,09-25-2018,09-25-2018,PLPUD,[J] Planning Zoning Review - CA,IGNORE,No sign-off needed on this project,09-25-2018
