PERMIT #,CASE_TYPE,CASE_TYPE_DESC,SUB_TYPE,SUB_TYPE_DESC,CONSTRUCTION COST,Square Footage,STATUS_CODE,Date_Initiated,Date_Issued
2018045733,CARN,Building Residential - New,CAA01R301,Single Family Residence,252719.5,2654,DONE,8/2/2018,8/7/2018
2018045735,CARN,Building Residential - New,CAA01R301,Single Family Residence,250845.04,2612,DONE,8/2/2018,8/7/2018
2018045902,CARN,Building Residential - New,CAA01R301,Single Family Residence,292089.73,2989,DONE,8/3/2018,8/7/2018
2018045736,CARN,Building Residential - New,CAA01R301,Single Family Residence,292089.73,2989,DONE,8/2/2018,8/7/2018
2018046669,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,12000,0,DONE,8/7/2018,8/7/2018
2018044877,CARN,Building Residential - New,CAA01R301,Single Family Residence,193019.23,2104,DONE,7/31/2018,8/7/2018
2018045926,CARR,Building Residential - Rehab,CAA10R301,Accessory Apartment,0,0,DONE,8/3/2018,8/7/2018
2018016704,CACN,Building Commercial - New,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",0,38317,DONE,3/26/2018,8/7/2018
2018016704,CACN,Building Commercial - New,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",0,0,DONE,3/26/2018,8/7/2018
2018022695,CARN,Building Residential - New,CAA02R302,Duplex,400000,0,DONE,4/23/2018,8/7/2018
2018045754,CARR,Building Residential - Rehab,CAA14U015,"Accessory Structure, Decks",2000,0,DONE,8/3/2018,8/7/2018
2018045301,CARN,Building Residential - New,CAA01R301,Single Family Residence,323799.36,3704,DONE,8/1/2018,8/7/2018
2018045306,CARN,Building Residential - New,CAA01R301,Single Family Residence,323799.36,3704,DONE,8/1/2018,8/7/2018
2018046507,CACR,Building Commercial - Rehab,CAF21S001,"Self Service Storage, Storage Mod Hazard",125000,0,DONE,8/7/2018,8/7/2018
2018046765,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,15000,0,DONE,8/7/2018,8/7/2018
2018046754,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",464.88,52,DONE,8/7/2018,8/7/2018
2018036295,CACR,Building Commercial - Rehab,CAF20M001,"Retail, Department / Retail Stores",150000,0,DONE,6/21/2018,8/8/2018
2018046838,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,5000,0,DONE,8/8/2018,8/8/2018
2018041671,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,64358.25,305,DONE,7/17/2018,8/8/2018
2018046839,CACR,Building Commercial - Rehab,CAL03A999,"Commercial Amusement (In), Other",35000,0,DONE,8/8/2018,8/8/2018
2018045500,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",22850.56,512,DONE,8/2/2018,8/8/2018
2018046266,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",610409.66,9898,DONE,8/6/2018,8/8/2018
2018046907,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,22850,0,DONE,8/8/2018,8/8/2018
2018031647,CACR,Building Commercial - Rehab,CAF20M002,"Retail, Drug Stores",50000,0,DONE,6/4/2018,8/8/2018
2018046930,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,16500,0,DONE,8/8/2018,8/8/2018
2018043868,CACR,Building Commercial - Rehab,CAL14A401,"Stadium/Arena/Convention Cntr, Arenas",250000,0,DONE,7/26/2018,8/8/2018
2018046924,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,50000,0,DONE,8/8/2018,8/8/2018
2018046911,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,109466.88,1392,DONE,8/8/2018,8/8/2018
2018046651,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",40000,0,DONE,8/7/2018,8/8/2018
2018046998,CARR,Building Residential - Rehab,CAA14U015,"Accessory Structure, Decks",2000,0,DONE,8/8/2018,8/8/2018
2018028198,CARN,Building Residential - New,CAA01R301,Single Family Residence,260275.83,2551,DONE,5/17/2018,8/8/2018
2018047026,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,2000,0,DONE,8/8/2018,8/8/2018
2018044883,CARN,Building Residential - New,CAA01R301,Single Family Residence,248693.61,2387,DONE,7/31/2018,8/8/2018
2018044878,CARN,Building Residential - New,CAA01R301,Single Family Residence,248580.96,2386,DONE,7/31/2018,8/8/2018
2018046921,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,36000,0,DONE,8/8/2018,8/8/2018
2018045373,CARJ,Building Residential - Fire Damage,CAA01R301,Single Family Residence,49000,0,DONE,8/1/2018,8/8/2018
2018045659,CARN,Building Residential - New,CAA01R301,Single Family Residence,219892.8,1952,DONE,8/2/2018,8/8/2018
2018045653,CARN,Building Residential - New,CAA01R301,Single Family Residence,219892.8,1952,DONE,8/2/2018,8/8/2018
2018047043,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,8000,0,DONE,8/8/2018,8/9/2018
2018043345,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,12038,0,DONE,7/24/2018,8/9/2018
2018036259,CACF,Building Commercial - Foundation,CAI01A317,"Airport/Heliport, Passngr Statn(Waitarea",0,82832,DONE,6/21/2018,8/9/2018
2018036259,CACF,Building Commercial - Foundation,CAI01A317,"Airport/Heliport, Passngr Statn(Waitarea",0,0,DONE,6/21/2018,8/9/2018
2018046498,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",25000,0,DONE,8/7/2018,8/9/2018
2018029551,CACR,Building Commercial - Rehab,CAF31A203,Restaurant (Take Out),110000,0,DONE,5/24/2018,8/9/2018
2018047246,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",3500,0,DONE,8/9/2018,8/9/2018
2018045783,CACP,Building Commercial - Change Contractor,CAD02B016,"General Office, Professional Services",20000,0,DONE,8/3/2018,8/9/2018
2018033332,CACR,Building Commercial - Rehab,CAA03R301,"Multifamily, Townhome",100000,0,DONE,6/11/2018,8/9/2018
2018037625,CACR,Building Commercial - Rehab,CAL03A999,"Commercial Amusement (In), Other",23500,0,ISSUE,6/27/2018,8/9/2018
2018046562,CARN,Building Residential - New,CAA01R301,Single Family Residence,217034.85,2301,DONE,8/7/2018,8/9/2018
2018046988,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",30000,0,DONE,8/8/2018,8/9/2018
2018047338,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,57000,0,DONE,8/9/2018,8/9/2018
2018046109,CACR,Building Commercial - Rehab,CAF18B012,"Personal Care Svcs, Hair/ Nail Salon",22000,0,DONE,8/6/2018,8/9/2018
2018039693,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,24000,0,DONE,7/9/2018,8/9/2018
2018047048,CACJ,Building Commercial - Fire Damage,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",69963,0,DONE,8/8/2018,8/9/2018
2018037860,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",1241803.12,7291,DONE,6/28/2018,8/9/2018
2018039177,CACR,Building Commercial - Rehab,CAI01B001,"Airport/Heliport, Airtraffic Cntr Towers",694757,0,DONE,7/6/2018,8/9/2018
2018041263,CARN,Building Residential - New,CAA01R301,Single Family Residence,174382.2,1548,DONE,7/16/2018,8/9/2018
2018041271,CARN,Building Residential - New,CAA01R301,Single Family Residence,161990.7,1438,DONE,7/16/2018,8/9/2018
2018041273,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",23207.6,520,DONE,7/16/2018,8/9/2018
2018047307,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,800000,0,DONE,8/9/2018,8/9/2018
2018045980,CARN,Building Residential - New,CAA14U004,"Accessory Structure, Carport",5360,400,DONE,8/3/2018,8/9/2018
2018046286,CARA,Building Residential - Addition,CAA14U009,"Accessory Structure, Garage",122000,0,DONE,8/6/2018,8/9/2018
2018042993,CACF,Building Commercial - Foundation,CAH03H000,"Fuel Storage, Hazardous (H1-H5)",1900000,0,DONE,7/24/2018,8/10/2018
2018043006,CACN,Building Commercial - New,CAH03H000,"Fuel Storage, Hazardous (H1-H5)",270000,0,DONE,7/24/2018,8/10/2018
2018046502,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",15000,0,DONE,8/7/2018,8/10/2018
2018043196,CARN,Building Residential - New,CAA01R301,Single Family Residence,447229.41,5871,DONE,7/24/2018,8/10/2018
2018047380,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",38648.94,682,DONE,8/9/2018,8/10/2018
2018023813,CACH,Building Commercial - Shell,CAD02B016,"General Office, Professional Services",102984552.9,917280,DONE,4/27/2018,8/10/2018
2018039902,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",700000,0,DONE,7/10/2018,8/10/2018
2018035137,CARN,Building Residential - New,CAA01R301,Single Family Residence,226154.49,2263,DONE,6/18/2018,8/10/2018
2018041304,CARN,Building Residential - New,CAA01R301,Single Family Residence,285081.23,2813,DONE,7/16/2018,8/10/2018
2018041032,CARN,Building Residential - New,CAA01R301,Single Family Residence,317092.06,3070,DONE,7/14/2018,8/10/2018
2018047607,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,10000,0,DONE,8/10/2018,8/10/2018
2018041686,CARN,Building Residential - New,CAA01R301,Single Family Residence,258202.57,2577,DONE,7/17/2018,8/10/2018
2018028248,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),35000,0,DONE,5/17/2018,8/10/2018
2018044456,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,20000,0,DONE,7/27/2018,8/10/2018
2018047665,CARK,Building Residential - Roofing / Siding,CAA01R301,Single Family Residence,3065,0,DONE,8/10/2018,8/10/2018
2018047577,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",10000,0,DONE,8/10/2018,8/10/2018
2018047567,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",10000,0,DONE,8/10/2018,8/10/2018
2018047692,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",5000,0,DONE,8/10/2018,8/10/2018
2018047706,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,60000,0,DONE,8/10/2018,8/10/2018
2018044680,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",9700,0,DONE,7/30/2018,8/10/2018
2018037327,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,25000,0,DONE,6/27/2018,8/10/2018
2018047711,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",4000,0,DONE,8/10/2018,8/10/2018
2018043779,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",7900,0,DONE,7/25/2018,8/10/2018
2018047700,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",9067.2,160,DONE,8/10/2018,8/10/2018
2018017877,CARN,Building Residential - New,CAA01R301,Single Family Residence,140812.5,1250,DONE,3/30/2018,8/10/2018
2018047323,CARN,Building Residential - New,CAA01R301,Single Family Residence,239763.9,2382,DONE,8/9/2018,8/10/2018
2018047316,CARN,Building Residential - New,CAA01R301,Single Family Residence,239763.9,2382,DONE,8/9/2018,8/10/2018
2018047283,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,35000,0,DONE,8/9/2018,8/10/2018
2018047444,CACN,Building Commercial - New,CAD03B000,"Leasing / Sales Office, Other",8000,0,DONE,8/9/2018,8/10/2018
2018047540,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",20000,0,DONE,8/10/2018,8/10/2018
2018017934,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),60000,0,DONE,3/30/2018,8/10/2018
2018038541,CARN,Building Residential - New,CAA01R301,Single Family Residence,142051.65,1261,DONE,7/2/2018,8/10/2018
2018047809,CARA,Building Residential - Addition,CAA14U011,"Accessory Structure, Shed / Storage Bldg",1200,0,DONE,8/10/2018,8/10/2018
2018040372,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,10000,0,DONE,7/11/2018,8/12/2018
2018047275,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,115000,0,ISSUE,8/9/2018,8/13/2018
2018047761,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",47000,0,DONE,8/10/2018,8/13/2018
2018046943,CARN,Building Residential - New,CAA01R301,Single Family Residence,258601.47,2609,DONE,8/8/2018,8/13/2018
2018046956,CARN,Building Residential - New,CAA01R301,Single Family Residence,258488.82,2608,DONE,8/8/2018,8/13/2018
2018018319,CARN,Building Residential - New,CAA01R301,Single Family Residence,135180,1200,DONE,4/3/2018,8/13/2018
2018018323,CARN,Building Residential - New,CAA01R301,Single Family Residence,135180,1200,DONE,4/3/2018,8/13/2018
2018018332,CARN,Building Residential - New,CAA01R301,Single Family Residence,135180,1200,DONE,4/3/2018,8/13/2018
2018047428,CACA,Building Commercial - Addition,CAD02B016,"General Office, Professional Services",2000,0,DONE,8/9/2018,8/13/2018
2018043474,CARN,Building Residential - New,CAA01R301,Single Family Residence,215935.85,2095,DONE,7/25/2018,8/13/2018
2018043484,CARN,Building Residential - New,CAA01R301,Single Family Residence,195440,1904,DONE,7/25/2018,8/13/2018
2018046837,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",201416.38,2012,DONE,8/8/2018,8/13/2018
2018046840,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",201416.38,2012,DONE,8/8/2018,8/13/2018
2018046854,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",201416.38,2012,DONE,8/8/2018,8/13/2018
2018046858,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",201416.38,2012,DONE,8/8/2018,8/13/2018
2018046845,CARN,Building Residential - New,CAA03R301,"Multifamily, Townhome",201416.38,2012,DONE,8/8/2018,8/13/2018
2018048035,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",5000,0,DONE,8/13/2018,8/13/2018
2018018334,CARN,Building Residential - New,CAA01R301,Single Family Residence,135180,1200,DONE,4/3/2018,8/13/2018
2018043460,CACR,Building Commercial - Rehab,CAF06A204,"Bar Or Nightclub, Tavern And Bars",90000,0,DONE,7/25/2018,8/13/2018
2018048054,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",20000,0,DONE,8/13/2018,8/13/2018
2018018425,CARN,Building Residential - New,CAA01R301,Single Family Residence,135180,1200,DONE,4/3/2018,8/13/2018
2018041904,CARN,Building Residential - New,CAA01R301,Single Family Residence,119409,1060,DONE,7/18/2018,8/13/2018
2018018431,CARN,Building Residential - New,CAA01R301,Single Family Residence,135180,1200,DONE,4/3/2018,8/13/2018
2018047766,CARN,Building Residential - New,CAA01R301,Single Family Residence,100000,0,DONE,8/10/2018,8/13/2018
2018047418,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",15174.2,340,DONE,8/9/2018,8/13/2018
2018047770,CARN,Building Residential - New,CAA01R301,Single Family Residence,100000,0,DONE,8/10/2018,8/13/2018
2018048008,CARN,Building Residential - New,CAA01R301,Single Family Residence,193758,1720,DONE,8/13/2018,8/13/2018
2018048013,CARN,Building Residential - New,CAA01R301,Single Family Residence,193758,1720,DONE,8/13/2018,8/13/2018
2018048015,CARN,Building Residential - New,CAA01R301,Single Family Residence,193758,1720,DONE,8/13/2018,8/13/2018
2018048017,CARN,Building Residential - New,CAA01R301,Single Family Residence,193758,1720,DONE,8/13/2018,8/13/2018
2018045045,CARN,Building Residential - New,CAA01R301,Single Family Residence,252541.3,2322,DONE,7/31/2018,8/13/2018
2018045048,CARN,Building Residential - New,CAA01R301,Single Family Residence,230689.2,2120,DONE,7/31/2018,8/13/2018
2018043662,CARN,Building Residential - New,CAA01R301,Single Family Residence,224210.97,2349,DONE,7/25/2018,8/13/2018
2018043656,CARN,Building Residential - New,CAA01R301,Single Family Residence,193285.71,2031,DONE,7/25/2018,8/13/2018
2018043655,CARN,Building Residential - New,CAA01R301,Single Family Residence,198832.73,2137,DONE,7/25/2018,8/13/2018
2018043311,CARN,Building Residential - New,CAA01R301,Single Family Residence,243671.99,2497,DONE,7/24/2018,8/13/2018
2018042536,CACR,Building Commercial - Rehab,CAB10A305,"Religious Institution, Worship Space",80000,0,DONE,7/20/2018,8/13/2018
2018043310,CARN,Building Residential - New,CAA01R301,Single Family Residence,243671.99,2497,DONE,7/24/2018,8/13/2018
2018043308,CARN,Building Residential - New,CAA01R301,Single Family Residence,254199.26,2614,DONE,7/24/2018,8/13/2018
2018043305,CARN,Building Residential - New,CAA01R301,Single Family Residence,254199.26,2614,DONE,7/24/2018,8/13/2018
2018043303,CARN,Building Residential - New,CAA01R301,Single Family Residence,276480.31,2845,DONE,7/24/2018,8/13/2018
2018043300,CARN,Building Residential - New,CAA01R301,Single Family Residence,276480.31,2845,DONE,7/24/2018,8/13/2018
2018043275,CARN,Building Residential - New,CAA01R301,Single Family Residence,283901.79,2993,DONE,7/24/2018,8/13/2018
2018039963,CARN,Building Residential - New,CAA01R301,Single Family Residence,283678.12,3052,DONE,7/10/2018,8/13/2018
2018043272,CARN,Building Residential - New,CAA01R301,Single Family Residence,259248.9,2718,DONE,7/24/2018,8/13/2018
2018048047,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,350000,0,DONE,8/13/2018,8/13/2018
2018043661,CARN,Building Residential - New,CAA01R301,Single Family Residence,203022.02,2176,DONE,7/25/2018,8/13/2018
2018043270,CARN,Building Residential - New,CAA01R301,Single Family Residence,242987.49,2503,DONE,7/24/2018,8/13/2018
2018036740,CACH,Building Commercial - Shell,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",1866672,20880,DONE,6/25/2018,8/13/2018
2018043165,CARN,Building Residential - New,CAA01R301,Single Family Residence,280954.58,2866,DONE,7/24/2018,8/13/2018
2018036737,CACH,Building Commercial - Shell,CAA03R399,"Multifamily, Apt / Twnhome > 5 Unit Bldg",1866672,20880,DONE,6/25/2018,8/13/2018
2018043162,CARN,Building Residential - New,CAA01R301,Single Family Residence,206561.21,2173,DONE,7/24/2018,8/13/2018
2018043160,CARN,Building Residential - New,CAA01R301,Single Family Residence,259019.3,2722,DONE,7/24/2018,8/13/2018
2018043164,CARN,Building Residential - New,CAA01R301,Single Family Residence,206561.21,2173,DONE,7/24/2018,8/13/2018
2018026521,CACR,Building Commercial - Rehab,CAF30A203,Restaurant (Fast Food),18000,0,DONE,5/9/2018,8/13/2018
2018048129,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",13400,0,DONE,8/13/2018,8/13/2018
2018048151,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,5000,0,DONE,8/13/2018,8/13/2018
2018048145,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,40000,0,DONE,8/13/2018,8/13/2018
2018046298,CARN,Building Residential - New,CAA01R301,Single Family Residence,168975,1500,DONE,8/6/2018,8/13/2018
2018048153,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,120000,0,DONE,8/13/2018,8/13/2018
2018026110,CACN,Building Commercial - New,CAA14U009,"Accessory Structure, Garage",27000,0,DONE,5/8/2018,8/13/2018
2018046295,CARN,Building Residential - New,CAA11R301,Detached Accessory Dwelling Unit,63084,560,DONE,8/6/2018,8/13/2018
2018048184,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,1800,0,DONE,8/13/2018,8/13/2018
2018028800,CACT,Building Commercial - Tenant Finish Out,CAD02B016,"General Office, Professional Services",80417.68,1304,DONE,5/21/2018,8/14/2018
2018048220,CARN,Building Residential - New,CAA14U004,"Accessory Structure, Carport",1000,0,DONE,8/13/2018,8/14/2018
2018048215,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",4000,0,DONE,8/13/2018,8/14/2018
2018048213,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,22000,0,DONE,8/13/2018,8/14/2018
2018046016,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",6000,0,DONE,8/3/2018,8/14/2018
2018047359,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",145000,0,DONE,8/9/2018,8/14/2018
2018048298,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",6800.4,120,DONE,8/14/2018,8/14/2018
2018048309,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,35000,0,DONE,8/14/2018,8/14/2018
2018048316,CACR,Building Commercial - Rehab,CAE10I001,Assisted Care Living,250000.01,0.01,DONE,8/14/2018,8/14/2018
2018044024,CACR,Building Commercial - Rehab,CAH10S001,"Warehouse, Storage S-1",199208,0,DONE,7/26/2018,8/14/2018
2018041666,CACN,Building Commercial - New,CAD02B016,"General Office, Professional Services",259896,2100,DONE,7/17/2018,8/14/2018
2018042985,CACN,Building Commercial - New,CAH10S001,"Warehouse, Storage S-1",2803051.6,32518,DONE,7/24/2018,8/14/2018
2018043022,CACN,Building Commercial - New,CAH10S001,"Warehouse, Storage S-1",1954585,22675,DONE,7/24/2018,8/14/2018
2018043039,CACN,Building Commercial - New,CAF21S001,"Self Service Storage, Storage Mod Hazard",573230,6650,DONE,7/24/2018,8/14/2018
2018043044,CACN,Building Commercial - New,CAF21S001,"Self Service Storage, Storage Mod Hazard",362040,4200,DONE,7/24/2018,8/14/2018
2018043054,CACN,Building Commercial - New,CAF21S001,"Self Service Storage, Storage Mod Hazard",103440,1200,DONE,7/24/2018,8/14/2018
2018048365,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",40802.4,720,DONE,8/14/2018,8/14/2018
2018045933,CARN,Building Residential - New,CAA01R301,Single Family Residence,185872.5,1650,DONE,8/3/2018,8/14/2018
2018048359,CACR,Building Commercial - Rehab,CAF14R102,Hotel / Motel,10000,0,DONE,8/14/2018,8/14/2018
2018046585,CARN,Building Residential - New,CAA01R301,Single Family Residence,255715.5,2270,DONE,8/7/2018,8/14/2018
2018046597,CARN,Building Residential - New,CAA01R301,Single Family Residence,169988.85,1509,DONE,8/7/2018,8/14/2018
2018046598,CARN,Building Residential - New,CAA01R301,Single Family Residence,169988.85,1509,DONE,8/7/2018,8/14/2018
2018048478,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,2000,0,DONE,8/14/2018,8/14/2018
2018046600,CARN,Building Residential - New,CAA01R301,Single Family Residence,169988.85,1509,DONE,8/7/2018,8/14/2018
2018046604,CARN,Building Residential - New,CAA01R301,Single Family Residence,222483.75,1975,DONE,8/7/2018,8/14/2018
2018047129,CARN,Building Residential - New,CAA01R301,Single Family Residence,222483.75,1975,DONE,8/8/2018,8/14/2018
2018047136,CARN,Building Residential - New,CAA01R301,Single Family Residence,169988.85,1509,DONE,8/8/2018,8/14/2018
2018047138,CARN,Building Residential - New,CAA01R301,Single Family Residence,198376.65,1761,DONE,8/8/2018,8/14/2018
2018047143,CARN,Building Residential - New,CAA01R301,Single Family Residence,255715.5,2270,DONE,8/8/2018,8/14/2018
2018048498,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",2143.68,96,DONE,8/14/2018,8/14/2018
2018048505,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",1000,0,DONE,8/14/2018,8/14/2018
2018040138,CACN,Building Commercial - New,CAD03B000,"Leasing / Sales Office, Other",4500,0,DONE,7/11/2018,8/14/2018
2018047035,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",44630,1000,DONE,8/8/2018,8/14/2018
2018040442,CACN,Building Commercial - New,CAF31A203,Restaurant (Take Out),2000,0,DONE,7/12/2018,8/14/2018
2018041182,CACR,Building Commercial - Rehab,CAD02B016,"General Office, Professional Services",190000,0,DONE,7/16/2018,8/14/2018
2018047795,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,40000,0,DONE,8/10/2018,8/14/2018
2018047459,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",3216,240,DONE,8/9/2018,8/14/2018
2018047245,CARN,Building Residential - New,CAA01R301,Single Family Residence,254417,2500,DONE,8/9/2018,8/14/2018
2018047243,CARN,Building Residential - New,CAA01R301,Single Family Residence,254417,2500,DONE,8/9/2018,8/14/2018
2018047229,CARN,Building Residential - New,CAA01R301,Single Family Residence,254417,2500,DONE,8/9/2018,8/14/2018
2018048549,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,30000,0,DONE,8/14/2018,8/14/2018
2018047394,CARN,Building Residential - New,CAA01R301,Single Family Residence,232788.2,2308,DONE,8/9/2018,8/14/2018
2018047411,CARN,Building Residential - New,CAA01R301,Single Family Residence,231999.65,2301,DONE,8/9/2018,8/14/2018
2018017495,CACT,Building Commercial - Tenant Finish Out,CAE04B016,"Medical Office, Professional Services",6000000,0,DONE,3/29/2018,8/14/2018
2018040266,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,70000,0,DONE,7/11/2018,8/14/2018
2018048101,CARN,Building Residential - New,CAA01R301,Single Family Residence,405540,3600,DONE,8/13/2018,8/15/2018
2018023391,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",449975,0,DONE,4/26/2018,8/15/2018
2018048737,CARR,Building Residential - Rehab,CAA01R301,Single Family Residence,10000,0,DONE,8/15/2018,8/15/2018
2018048733,CARA,Building Residential - Addition,CAA01R301,Single Family Residence,12000,0,DONE,8/15/2018,8/15/2018
2018048742,CARR,Building Residential - Rehab,CAA02R302,Duplex,145000,0,DONE,8/15/2018,8/15/2018
2018047530,CACR,Building Commercial - Rehab,CAL04A504,"Comm. Amusement (Out), Stadiums",35000,0,DONE,8/10/2018,8/15/2018
2018048773,CARN,Building Residential - New,CAA14U011,"Accessory Structure, Shed / Storage Bldg",12853.44,288,DONE,8/15/2018,8/15/2018
2018048771,CARJ,Building Residential - Fire Damage,CAA01R301,Single Family Residence,55000,0,DONE,8/15/2018,8/15/2018
2018048592,CACT,Building Commercial - Tenant Finish Out,CAF20M001,"Retail, Department / Retail Stores",8000,0,DONE,8/14/2018,8/15/2018
2018048585,CACT,Building Commercial - Tenant Finish Out,CAF20M001,"Retail, Department / Retail Stores",8000,0,DONE,8/14/2018,8/15/2018
2018047695,CACR,Building Commercial - Rehab,CAA03R398,"Multifamily, Tri-Plex, Quad, Apartments",52000,0,DONE,8/10/2018,8/15/2018
2018047673,CACR,Building Commercial - Rehab,CAE04B016,"Medical Office, Professional Services",128000,0,DONE,8/10/2018,8/15/2018
2018047974,CARN,Building Residential - New,CAA01R301,Single Family Residence,26131.64,196,DONE,8/13/2018,8/15/2018
2018040022,CARN,Building Residential - New,CAA01R301,Single Family Residence,43798.4,360,DONE,7/10/2018,8/15/2018
2018048366,CACN,Building Commercial - New,CAF30A203,Restaurant (Fast Food),15000,0,DONE,8/14/2018,8/15/2018
2018036101,CARN,Building Residential - New,CAA01R301,Single Family Residence,201048.52,1048.52,DONE,6/20/2018,8/15/2018
2018045039,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),5000,0,DONE,7/31/2018,8/15/2018
2018045968,CARN,Building Residential - New,CAA01R301,Single Family Residence,248731.2,2208,DONE,8/3/2018,8/15/2018
2018045965,CARN,Building Residential - New,CAA01R301,Single Family Residence,248731.2,2208,DONE,8/3/2018,8/15/2018
2018042752,CACR,Building Commercial - Rehab,CAF19A203,Restaurant (Full Service),1000,0,DONE,7/23/2018,8/15/2018
2018048799,CACK,Building Commercial - Roofing / Siding,CAH10S002,"Warehouse, Storage S-2",80000,0,DONE,8/15/2018,8/15/2018
2018047818,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",21534.6,380,DONE,8/10/2018,8/15/2018
2018047816,CARN,Building Residential - New,CAA14U009,"Accessory Structure, Garage",21534.6,380,DONE,8/10/2018,8/15/2018
2018048847,CARA,Building Residential - Addition,CAA14U015,"Accessory Structure, Decks",7497.84,168,DONE,8/15/2018,8/15/2018
